"","PHD1.SCH01.01_18S","PHD1.SCH01.02_18S","PHD1.SCH01.03_18S","PHD1.SCH01.04_18S","PHD1.SCH01.04rep_18S","PHD1.SCH01.05_18S","PHD1.SCH01.06_18S","PHD1.SCH01.07_18S","PHD1.SCH01.08_18S","PHD1.SCH01.09_18S","PHD1.SCH02.01_18S","PHD1.SCH02.02_18S","PHD1.SCH02.03_18S","PHD1.SCH02.04_18S","PHD1.SCH02.05_18S","PHD1.SCH02.06_18S","PHD1.SCH03.01_18S","PHD1.SCH03.02_18S","PHD1.SCH03.03_18S","PHD1.SCH03.04_18S","PHD1.SCH03.05_18S","PHD1.SCH03.05rep_18S","PHD1.SCH03.06_18S","PHD1.SCH03.07_18S","PHD1.SCH03.08_18S","PHD1.SCH03.09_18S","PHD1.SCH04.01_18S","PHD1.SCH04.02_18S","PHD1.SCH04.03_18S","PHD1.SCH04.04_18S","PHD1.SCH04.05_18S","PHD1.SCH04.06_18S","PHD1.SCH04.07_18S","PHD1.SCH04.08_18S","PHD1.SCH04.09_18S","PHD1.SCH04.09rep_18S","PHD1.SCH05.01_18S","PHD1.SCH05.02_18S","PHD1.SCH05.03_18S","PHD1.SCH06.01_18S","PHD1.SCH06.02_18S","PHD1.SCH06.03_18S","PHD1.SCH06.04_18S","PHD1.SCH06.06_18S","PHD1.SCH07.01_18S","PHD1.SCH07.02_18S","PHD1.SCH07.02rep_18S","PHD1.SCH07.03_18S","PHD1.SCH08.01_18S","PHD1.SCH08.02_18S","PHD1.SCH08.03_18S","PHD1.SCH08.04_18S","PHD1.SCH08.05_18S","PHD1.SCH08.06_18S","PHD1.SCH08.07_18S","PHD1.SCH08.08_18S","PHD1.SCH08.09_18S","PHD1.SW01.01_18S","PHD1.SW01.02_18S","PHD1.SW01.03_18S","PHD1.SW01.04_18S","PHD1.SW01.05_18S","PHD1.SW01.06_18S","PHD1.SW01.06rep_18S","PHD1.SW01.07_18S","PHD1.SW01.08_18S","PHD1.SW01.09_18S","PHD1.SW02.01_18S","PHD1.SW02.02_18S","PHD1.SW02.03_18S","PHD1.SW03.01_18S","PHD1.SW03.02_18S","PHD1.SW03.03_18S","PHD1.SW03.04_18S","PHD1.SW03.05_18S","PHD1.SW03.06_18S","PHD1.SW03.07_18S","PHD1.SW03.08_18S","PHD1.SW03.08rep_18S","PHD1.SW03.09_18S","PHD1.SW04.01_18S","PHD1.SW04.02_18S","PHD1.SW04.03_18S","PHD1.SW05.01_18S","PHD1.SW05.01rep_18S","PHD1.SW05.02_18S","PHD1.SW05.03_18S","PHD1.SW05.04_18S","PHD1.SW05.05_18S","PHD1.SW05.06_18S","PHD1.SW05.07_18S","PHD1.SW05.08_18S","PHD1.SW05.09_18S","PHD1.SW06.01_18S","PHD1.SW06.03_18S","PHD1.SW07.01_18S","PHD1.SW07.02_18S","PHD1.SW07.03_18S","PHD1.SW07.03rep_18S","PHD1.SW08.01_18S","PHD1.SW08.02_18S","PHD1.SW08.03_18S","PHD2.CN01.01_18S","PHD2.CN01.02_18S","PHD2.CN01.03_18S","PHD2.CN01.04_18S","PHD2.CN01.05_18S","PHD2.CN01.06_18S","PHD2.CN01.07_18S","PHD2.CN01.08_18S","PHD2.CN01.09_18S","PHD2.CN02.02_18S","PHD2.CN02.04_18S","PHD2.CN02.05_18S","PHD2.CN02.06_18S","PHD2.CN02.07_18S","PHD2.CN02.08_18S","PHD2.CN02.09_18S","PHD2.CN02.09rep_18S","PHD2.CN03.01_18S","PHD2.CN03.02_18S","PHD2.CN03.03_18S","PHD2.CN03.04_18S","PHD2.CN03.05_18S","PHD2.CN03.06_18S","PHD2.CN03.07_18S","PHD2.CN03.08_18S","PHD2.CN03.09_18S","PHD2.CN04.01_18S","PHD2.CN04.02_18S","PHD2.CN04.03_18S","PHD2.CN04.04_18S","PHD2.CN04.05_18S","PHD2.CN04.05rep_18S","PHD2.CN04.06_18S","PHD2.CN04.07_18S","PHD2.CN04.08_18S","PHD2.CN04.09_18S","PHD2.CN05.01_18S","PHD2.CN05.03_18S","PHD2.CN05.04_18S","PHD2.CN05.05_18S","PHD2.CN05.06_18S","PHD2.CN05.07_18S","PHD2.CN05.08_18S","PHD2.CN05.08rep_18S","PHD2.CN05.09_18S","PHD2.NE01.01_18S","PHD2.NE01.02_18S","PHD2.NE01.03_18S","PHD2.NE01.04_18S","PHD2.NE01.05_18S","PHD2.NE01.06_18S","PHD2.NE01.07_18S","PHD2.NE01.08_18S","PHD2.NE01.09_18S","PHD2.NE02.01_18S","PHD2.NE02.02_18S","PHD2.NE02.03_18S","PHD2.NE02.04_18S","PHD2.NE02.05_18S","PHD2.NE02.06_18S","PHD2.NE02.07_18S","PHD2.NE02.08_18S","PHD2.NE02.09_18S","PHD2.NE02.09rep_18S","PHD2.NE03.01_18S","PHD2.NE03.04_18S","PHD2.NE03.05_18S","PHD2.NE03.06_18S","PHD2.NE03.07_18S","PHD2.NE03.08_18S","PHD2.NE03.09_18S","PHD2.NE04.02_18S","PHD2.NE04.04_18S","PHD2.NE04.05_18S","PHD2.NE04.05rep_18S","PHD2.NE04.06_18S","PHD2.NE04.07_18S","PHD2.NE04.08_18S","PHD2.NE04.09_18S","PHD2.NE05.01_18S","PHD2.NE05.03_18S","PHD2.NE05.04_18S","PHD2.NE05.05_18S","PHD2.NE05.06_18S","PHD2.NE05.07_18S","PHD2.NE05.08_18S","PHD2.NE05.08rep_18S","PHD2.NE05.09_18S","PHD2.NW01.02_18S","PHD2.NW01.02rep_18S","PHD2.NW01.03_18S","PHD2.NW02.01_18S","PHD2.NW02.02_18S","PHD2.NW02.03_18S","PHD2.NW02.04_18S","PHD2.NW02.05_18S","PHD2.NW02.06_18S","PHD2.NW02.07_18S","PHD2.NW02.08_18S","PHD2.NW02.09_18S","PHD2.NW03.01_18S","PHD2.NW03.02_18S","PHD2.NW03.03_18S","PHD2.NW03.04_18S","PHD2.NW03.05_18S","PHD2.NW03.06_18S","PHD2.NW03.07_18S","PHD2.NW03.08_18S","PHD2.NW03.08rep_18S","PHD2.NW04.01_18S","PHD2.NW04.02_18S","PHD2.NW04.03_18S","PHD2.NW04.04_18S","PHD2.NW04.05_18S","PHD2.NW04.06_18S","PHD2.NW04.07_18S","PHD2.NW04.08_18S","PHD2.NW04.09_18S","PHD2.NW05.01_18S","PHD2.NW05.02_18S","PHD2.NW05.03_18S","PHD2.NW05.04_18S","PHD2.NW05.05_18S","PHD2.NW05.06_18S","PHD2.NW05.07_18S","PHD2.NW05.08_18S","PHD2.NW05.09_18S","PHD2.NW06.02_18S","PHD2.NW06.02rep_18S","PHD2.NW06.03_18S","PHD2.NW06.04_18S","PHD2.NW06.05_18S","PHD2.NW06.06_18S","PHD2.SCH01.04rep_18S","PHD2.SCH03.05rep_18S","PHD2.SCH04.09rep_18S","PHD2.SCH06.05_18S","PHD2.SCH07.02rep_18S","PHD2.SW01.06rep_18S","PHD2.SW03.08rep_18S"
"Mesophyllum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0,98,14,361,12,2104,635,1640,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metarhombognathus armatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microcionidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microporella ciliata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microstomum papillosum",0,0,0,5,0,0,0,22,16,23,0,0,0,0,0,0,0,0,8,0,0,0,0,3,5,3,3,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Mitrocomidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Molgula complanata",80,296,99,144,166,46,22,0,0,0,0,8,0,0,0,0,40,0,21,111,8,0,4,7,12,10,0,0,0,15,12,54,4,0,0,0,21,12,22,56,0,125,18,102,538,188,165,689,143,340,206,183,9,302,16,0,0,0,0,0,11,0,17,4,0,36,0,17,0,146,8,0,0,0,0,0,0,0,14,0,34,47,103,0,0,0,0,0,267,38,97,76,37,0,8,0,0,0,0,12,88,159,13,11,0,0,6,14,77,62,52,34,15,21,24,0,270,57,134,0,0,0,0,0,9,8,17,19,0,0,0,13,558,2530,58,37,50,15,0,26,10,180,26,773,290,244,195,30,0,8,24,35,0,12,0,6,10,11,0,8,5,12,0,0,0,16,70,479,399,1195,80,16,99,0,0,0,0,12,7,0,1549,16,0,67,19,29,9,28,77,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,49,12,21,11,13,10,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,19,28,0,0,7,86,0,0
"Molgula occulta",6,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6,151,14,0,0,0,0,0,0,0,0,39,14,0,0,0,0,0,15,0,6,8,50,0,0,8,0,0,14,29,0,0,0,0,0,0,0,0,0,0,0,0,0,234,1030,0,36,6,0,18,78,12,2788,25,161,132,115,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Molgula retortiformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monhysterida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monocelis fusca",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"Monostroma angicava",0,0,0,18,15,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Monstrilloida",3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Muellerena wattsii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Musculus",0,45,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,19,37,334,100,204,183,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,13,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,14,0,0,0,0,0,10,0,0,0,0,0,0,0,28,97,0,0,9,0,0,0,23,15,20,0,188,135,40,289,181,123,73,29,59,69,44,28,0,18,18,0,15,18,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,35,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,34,0
"Myrianida",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mytilidae",101,62,103,476,882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,72,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0
"Mytilinae",213,275,187,269,462,326,96,8,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,39,0,0,14,0,15,48,18,62,24,30,0,0,0,0,0,15,0,0,9,0,0,0,0,80,233,20,5495,1775,1959,2046,360,1811,76,24,0,61,701,168,0,4766,21254,9467,69,95,192,48,33,54,41,0,0,0,0,0,0,0,0,0,0,3348,2602,0,0,0,0,0,48,31,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,15,0,0,0,0,0,0,0,11,0,0,32,104,0,42,84,31,0,0,0,16,0,80,49,58,0,84,28,26,68,49,94,544,218,348,374,302,474,78,36,93,35,47,50,157,14,144,60,172,29,11,38,0,0,0,0,0,20,0,0,0,0,0,0,0,29,339,270,255,143,211,124,28,25,35,45,39,14,25,17,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,192,26
"Naidinae",0,0,0,0,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nemertesia antennina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neocopepoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,194,0,0,0,0,4,52,0,0,0,0,0,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,828,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
