"","PHD1.SCH01.01_CO1","PHD1.SCH01.02_CO1","PHD1.SCH01.03_CO1","PHD1.SCH01.04_CO1","PHD1.SCH01.04rep_CO1","PHD1.SCH01.05_CO1","PHD1.SCH01.06_CO1","PHD1.SCH01.07_CO1","PHD1.SCH01.08_CO1","PHD1.SCH01.09_CO1","PHD1.SCH02.01_CO1","PHD1.SCH02.02_CO1","PHD1.SCH02.06_CO1","PHD1.SCH03.01_CO1","PHD1.SCH03.02_CO1","PHD1.SCH03.03_CO1","PHD1.SCH03.04_CO1","PHD1.SCH03.05_CO1","PHD1.SCH03.06_CO1","PHD1.SCH03.07_CO1","PHD1.SCH03.08_CO1","PHD1.SCH03.09_CO1","PHD1.SCH04.01_CO1","PHD1.SCH04.02_CO1","PHD1.SCH04.04_CO1","PHD1.SCH04.05_CO1","PHD1.SCH04.06_CO1","PHD1.SCH04.07_CO1","PHD1.SCH04.08_CO1","PHD1.SCH04.09_CO1","PHD1.SCH04.09rep_CO1","PHD1.SCH05.01_CO1","PHD1.SCH05.02_CO1","PHD1.SCH05.03_CO1","PHD1.SCH06.01_CO1","PHD1.SCH06.02_CO1","PHD1.SCH06.03_CO1","PHD1.SCH06.04_CO1","PHD1.SCH06.05_CO1","PHD1.SCH06.06_CO1","PHD1.SCH07.01_CO1","PHD1.SCH07.02_CO1","PHD1.SCH07.02rep_CO1","PHD1.SCH07.03_CO1","PHD1.SCH08.01_CO1","PHD1.SCH08.02_CO1","PHD1.SCH08.03_CO1","PHD1.SCH08.04_CO1","PHD1.SCH08.05_CO1","PHD1.SCH08.06_CO1","PHD1.SCH08.07_CO1","PHD1.SCH08.08_CO1","PHD1.SW01.01_CO1","PHD1.SW01.02_CO1","PHD1.SW01.03_CO1","PHD1.SW01.04_CO1","PHD1.SW01.05_CO1","PHD1.SW01.06_CO1","PHD1.SW01.06rep_CO1","PHD1.SW01.07_CO1","PHD1.SW01.08_CO1","PHD1.SW01.09_CO1","PHD1.SW02.01_CO1","PHD1.SW02.02_CO1","PHD1.SW02.03_CO1","PHD1.SW03.01_CO1","PHD1.SW03.02_CO1","PHD1.SW03.03_CO1","PHD1.SW03.04_CO1","PHD1.SW03.05_CO1","PHD1.SW03.06_CO1","PHD1.SW03.08_CO1","PHD1.SW03.08rep_CO1","PHD1.SW03.09_CO1","PHD1.SW04.02_CO1","PHD1.SW04.03_CO1","PHD1.SW05.01_CO1","PHD1.SW05.01rep_CO1","PHD1.SW05.02_CO1","PHD1.SW05.02rep_CO1","PHD1.SW05.03_CO1","PHD1.SW05.03rep_CO1","PHD1.SW05.04_CO1","PHD1.SW05.05_CO1","PHD1.SW05.06_CO1","PHD1.SW05.07_CO1","PHD1.SW05.08_CO1","PHD1.SW05.09_CO1","PHD1.SW06.01_CO1","PHD1.SW06.02_CO1","PHD1.SW06.03_CO1","PHD1.SW07.01_CO1","PHD1.SW07.02_CO1","PHD1.SW07.03_CO1","PHD1.SW07.03rep_CO1","PHD1.SW08.01_CO1","PHD1.SW08.02_CO1","PHD1.SW08.03_CO1","PHD2.CN01.01_CO1","PHD2.CN01.02_CO1","PHD2.CN01.02rep_CO1","PHD2.CN01.03_CO1","PHD2.CN01.04_CO1","PHD2.CN01.05_CO1","PHD2.CN01.06_CO1","PHD2.CN01.07_CO1","PHD2.CN01.08_CO1","PHD2.CN01.09_CO1","PHD2.CN02.01_CO1","PHD2.CN02.03_CO1","PHD2.CN02.04_CO1","PHD2.CN02.05_CO1","PHD2.CN02.06_CO1","PHD2.CN02.07_CO1","PHD2.CN02.08_CO1","PHD2.CN02.09_CO1","PHD2.CN02.09rep_CO1","PHD2.CN03.01_CO1","PHD2.CN03.02_CO1","PHD2.CN03.03_CO1","PHD2.CN03.04_CO1","PHD2.CN03.05_CO1","PHD2.CN03.06_CO1","PHD2.CN03.07_CO1","PHD2.CN03.08_CO1","PHD2.CN03.09_CO1","PHD2.CN04.01_CO1","PHD2.CN04.02_CO1","PHD2.CN04.04_CO1","PHD2.CN04.05_CO1","PHD2.CN04.05rep_CO1","PHD2.CN04.06_CO1","PHD2.CN04.07_CO1","PHD2.CN04.08_CO1","PHD2.CN04.09_CO1","PHD2.CN05.01_CO1","PHD2.CN05.02_CO1","PHD2.CN05.03_CO1","PHD2.CN05.04_CO1","PHD2.CN05.05_CO1","PHD2.CN05.06_CO1","PHD2.CN05.07_CO1","PHD2.CN05.08_CO1","PHD2.CN05.08rep_CO1","PHD2.CN05.09_CO1","PHD2.NE01.01_CO1","PHD2.NE01.02_CO1","PHD2.NE01.03_CO1","PHD2.NE01.04_CO1","PHD2.NE01.05_CO1","PHD2.NE01.06_CO1","PHD2.NE01.07_CO1","PHD2.NE01.08_CO1","PHD2.NE02.01_CO1","PHD2.NE02.02_CO1","PHD2.NE02.04_CO1","PHD2.NE02.05_CO1","PHD2.NE02.06_CO1","PHD2.NE02.07_CO1","PHD2.NE02.08_CO1","PHD2.NE02.09_CO1","PHD2.NE02.09rep_CO1","PHD2.NE03.01_CO1","PHD2.NE03.02_CO1","PHD2.NE03.03_CO1","PHD2.NE03.04_CO1","PHD2.NE03.05_CO1","PHD2.NE03.06_CO1","PHD2.NE03.07_CO1","PHD2.NE03.08_CO1","PHD2.NE03.09_CO1","PHD2.NE04.01_CO1","PHD2.NE04.02_CO1","PHD2.NE04.03_CO1","PHD2.NE04.04_CO1","PHD2.NE04.05_CO1","PHD2.NE04.05rep_CO1","PHD2.NE04.06_CO1","PHD2.NE04.07_CO1","PHD2.NE04.08_CO1","PHD2.NE04.09_CO1","PHD2.NE05.01_CO1","PHD2.NE05.02_CO1","PHD2.NE05.03_CO1","PHD2.NE05.04_CO1","PHD2.NE05.05_CO1","PHD2.NE05.06_CO1","PHD2.NE05.07_CO1","PHD2.NE05.08_CO1","PHD2.NE05.08rep_CO1","PHD2.NE05.09_CO1","PHD2.NW01.01_CO1","PHD2.NW01.02_CO1","PHD2.NW01.02rep_CO1","PHD2.NW01.03_CO1","PHD2.NW02.01_CO1","PHD2.NW02.02_CO1","PHD2.NW02.03_CO1","PHD2.NW02.04_CO1","PHD2.NW02.05_CO1","PHD2.NW02.06_CO1","PHD2.NW02.07_CO1","PHD2.NW02.08_CO1","PHD2.NW02.09_CO1","PHD2.NW03.02_CO1","PHD2.NW03.03_CO1","PHD2.NW03.04_CO1","PHD2.NW03.05_CO1","PHD2.NW03.06_CO1","PHD2.NW03.07_CO1","PHD2.NW03.08_CO1","PHD2.NW03.08rep_CO1","PHD2.NW03.09_CO1","PHD2.NW04.01_CO1","PHD2.NW04.02_CO1","PHD2.NW04.03_CO1","PHD2.NW04.04_CO1","PHD2.NW04.05_CO1","PHD2.NW04.06_CO1","PHD2.NW04.07_CO1","PHD2.NW04.08_CO1","PHD2.NW04.09_CO1","PHD2.NW05.01_CO1","PHD2.NW05.02_CO1","PHD2.NW05.03_CO1","PHD2.NW05.04_CO1","PHD2.NW05.05_CO1","PHD2.NW05.06_CO1","PHD2.NW05.07_CO1","PHD2.NW05.08_CO1","PHD2.NW05.09_CO1","PHD2.NW06.01_CO1","PHD2.NW06.02_CO1","PHD2.NW06.02rep_CO1","PHD2.NW06.03_CO1","PHD2.NW06.04_CO1","PHD2.NW06.05_CO1","PHD2.NW06.06_CO1","PHD2.SCH01.04rep_CO1","PHD2.SCH02.03_CO1","PHD2.SCH02.05_CO1","PHD2.SCH03.05rep_CO1","PHD2.SCH03.05rep2_CO1","PHD2.SCH04.09rep_CO1","PHD2.SCH07.02rep_CO1","PHD2.SW01.06rep_CO1","PHD2.SW03.08rep_CO1","PHD3.CN01.01rep_CO1","PHD3.CN01.02rep_CO1","PHD3.CN01.03rep_CO1","PHD3.CN01.04rep_CO1","PHD3.CN01.05rep_CO1","PHD3.CN01.06rep_CO1","PHD3.CN01.07rep_CO1","PHD3.CN01.08rep_CO1","PHD3.SCH01.04rep_CO1","PHD3.SCH03.05rep_CO1","PHD3.SCH04.09rep_CO1","PHD3.SCH07.02rep_CO1","PHD3.SW01.06rep_CO1","PHD3.SW03.08rep_CO1","PHD3.SW05.01rep_CO1","PHD3.SW07.03rep_CO1"
"Lasius niger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leathesia",13,62,32,270,157,20,32,0,6,0,60,0,0,86,73,175,76,1867,86,21,4,20,13,0,0,90,57,0,0,0,0,78,31,4,18,97,25,81,64,69,15,55,0,0,0,0,0,0,13,0,523,166,0,0,0,3,0,0,5,176,16,68,0,4,0,196,44,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,4,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,193,0,0,33,6,0,0,0,0,0,0,0,0,0,0,0,0,0,629,0,0,0,0,5,40,35,16,15,14,0,500,13,35,256,58,0,66,32,0,8,0,0,0,0,7,23,14,93,17,48,188,129,150,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,172,11,12,16,11,316,48,100,6,11,0,0,0,0,0,0,0,70,0,95,0,6,0,940,175,456,0,0,0,14,0,3,0,0,0,527,21,21,0,406,109,36,49,0,0,411,517,0,0,0,0,0,0,0,0,0,0,0,0,98,839,0,95,0,0,0,0
"Leathesia marina",0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,142,33,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842,1104,375,0,0,171,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0
"Lepidochitona cinerea",0,0,0,0,0,0,0,3,0,37,11,0,0,0,0,9,0,0,14,7,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,17,4,0,25,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,11,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lepidonotus clava",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lepidonotus squamatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leptosiphonia brodiei",14,39,11,55,107,46,14,54,0,17,0,0,0,14,15,58,0,0,12,0,0,11,0,0,0,0,0,0,0,2,0,952,347,0,4,0,0,29,12,42,0,0,0,0,80,0,11,7,86,3,6,0,0,0,0,5,4,3,13,6,0,16,0,0,0,0,0,0,15,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,7,0,0,12,107,31,0,59,0,16,0,0,0,101,0,10,0,18,0,0,0,7005,5857,4171,54,146,1538,526,0,4,0,29,12,12,49,66,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,39,110,128,20,61,23,7,336,0,8,12,30,12,3,16,0,0,0,0,23,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,6,53,0,0,0,0,0,0,58,0,0,0,0,0,6,0,5,0,73,0,0,0,17,0,0,0
"Leptosiphonia fibrillosa",0,0,4,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,349,5,0,8,0,58,34,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,118,0,0,11,0,264,177,204,5,0,19,20,17,43,18,0,0,8,0,155,107,54,62,215,422,50,34,0,41,26,9,10,0,139,35,0,0,0,34,0,75,86,111,9,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,9,0,0,0,0,0,71,10,7,10,84,56,15,25,4,4,0,0,0,0,0,0,0,0,6,0,0,31,45,111,8,0,0,0,0,0,0,0,0,99,0,7,0,0,25,5,233,161,0,0,0,0,0,133,0,0
"Leptothecata",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,30,74,0,0,0,11,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,5070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
"Leuckartiara nobilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leuckartiara octona",0,0,0,7,0,0,0,0,0,0,0,9,0,2,10,4,14,5,14,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,11,21,42,131,73,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,52,57,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Limacia clavigera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Limapontia capitata",0,0,0,17,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,29,16,0,0,0,13,0,0,0,0,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0
"Limapontia senestra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Limnodrilus hoffmeisteri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lithophyllum hibernicum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,4,10,25,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,11,0,0,86,9,24,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lithophyllum orbiculatum",0,12,0,4,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,628,70,104,21,63,175,0,0,3,6,0,0,0,59,95,12,69,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,43,20,0,0,0,0,0,0,0,6,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,13,30,0,0,0,0,0,0,0,22,0,0,0,0,0,25,23,7,0,0,0,14,0,4,0,21,20,2,0,0,0,11,0,0,0,5,59,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,15,43,47,9,48,9,6,140,0,0,0,7,0,0,8,0,0,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"Littorina",0,0,3,0,0,23,0,9,12,10,6,0,0,0,44,0,8,7,32,0,0,3,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,11,0,0,16,83,150,49,30,0,0,2,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,7,0,5,17,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,17,15,52,0,0,0,20,95,0,0,0,0,0,0,4,0,9,6,0,0,0,0,0,14,0,16,0,0,0,0,0,19,13,0,6,20,0,0,0,0,14,7,0,3,0,0,0,0,25,0,5,0,0,0,0,0,0,0,7,0,0,0,29,0,2,43,98,0,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,20,0,0,0,14,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
